support,itemsets,length
0.021692208072523204,frozenset({'3 STRIPEY MICE FELTCRAFT'}),1
0.039175480250377724,frozenset({'6 RIBBONS RUSTIC CHARM'}),1
0.025145693934815454,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),1
0.03545219080509389,frozenset({'60 TEATIME FAIRY CAKE CASES'}),1
0.02703431901575653,frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),1
0.04257500539607166,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1
0.025253615368012086,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),1
0.03307791927476797,frozenset({'ALARM CLOCK BAKELIKE PINK'}),1
0.047323548456723506,frozenset({'ALARM CLOCK BAKELIKE RED '}),1
0.028815022663500972,frozenset({'ANTIQUE SILVER T-LIGHT GLASS'}),1
0.020181308007770342,frozenset({'AREA PATROLLED METAL SIGN'}),1
0.07419598532268508,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),1
0.046082451974962226,frozenset({'BAKING SET 9 PIECE RETROSPOT '}),1
0.022879343837686163,frozenset({'BAKING SET SPACEBOY DESIGN'}),1
0.02066695445715519,frozenset({'BATHROOM METAL SIGN'}),1
0.027897690481329594,frozenset({'BLUE HARMONICA IN BOX '}),1
0.02293330455428448,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),1
0.0262788689833801,frozenset({'CHARLOTTE BAG PINK POLKADOT'}),1
0.03156701921001511,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),1
0.02417440103604576,frozenset({'CHILDRENS APRON SPACEBOY DESIGN'}),1
0.028005611914526225,frozenset({'CHILLI LIGHTS'}),1
0.0377725016188215,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),1
0.020181308007770342,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),1
0.022717461687891214,frozenset({'CHRISTMAS CRAFT LITTLE FRIENDS'}),1
0.03448089790632419,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '}),1
