Product,Cancel_Qty,Cancel_Orders,Valid_Qty,Cancel_Rate
Discount,1194.0,65.0,0.0,99.9163179916318
ASSORTED TUTTI FRUTTI ROUND BOX,24.0,1.0,0.0,96.0
CRUK Commission,16.0,16.0,0.0,94.11764705882352
PINK POODLE HANGING DECORATION ,12.0,1.0,0.0,92.3076923076923
WHITE CHERRY LIGHTS,8.0,1.0,0.0,88.88888888888889
VINTAGE GOLD TINSEL REEL,6.0,1.0,0.0,85.71428571428571
BLUE PADDED SOFT MOBILE,7.0,3.0,1.0,77.77777777777779
ANTIQUE LILY FAIRY LIGHTS,3.0,2.0,0.0,75.0
ROBIN CHRISTMAS CARD,12.0,1.0,3.0,75.0
CREAM SWEETHEART MAGAZINE RACK,3.0,2.0,0.0,75.0
PINK CHERRY LIGHTS,8.0,2.0,4.0,61.53846153846154
WOODEN BOX ADVENT CALENDAR ,16.0,8.0,10.0,59.25925925925925
CHALKBOARD KITCHEN ORGANISER,10.0,2.0,6.0,58.82352941176471
3 WICK CHRISTMAS BRIAR CANDLE ,4.0,1.0,2.0,57.14285714285714
ROTATING SILVER ANGELS T-LIGHT HLDR,9367.0,3.0,7907.0,54.22286541244573
PINK SMALL GLASS CAKE STAND,27.0,2.0,24.0,51.92307692307693
LARGE ROUND CUTGLASS CANDLESTICK,1.0,1.0,0.0,50.0
WOOLLY HAT SOCK GLOVE ADVENT STRING,1.0,1.0,0.0,50.0
SWEETHEART KEY CABINET,1.0,1.0,0.0,50.0
TEA TIME CAKE STAND IN GIFT BOX,1.0,1.0,0.0,50.0
BLUE FLYING SINGING CANARY,1.0,1.0,0.0,50.0
CREAM SWEETHEART TRAYS,1.0,1.0,0.0,50.0
CREAM SWEETHEART SHELF + HOOKS,1.0,1.0,0.0,50.0
SMALL TAHITI BEACH BAG,1.0,1.0,0.0,50.0
PINK LARGE JEWELED PHOTOFRAME,1.0,1.0,0.0,50.0
PORCELAIN HANGING BELL SMALL,1.0,1.0,0.0,50.0
FLAMINGO LIGHTS,1.0,1.0,0.0,50.0
"PAPER CRAFT , LITTLE BIRDIE",80995.0,1.0,80995.0,49.999691340876964
HANGING RIDGE GLASS T-LIGHT HOLDER,36.0,3.0,36.0,49.31506849315068
MEDIUM CERAMIC TOP STORAGE JAR,74494.0,10.0,77916.0,48.87704955679052
SET OF 3 BABUSHKA STACKING TINS,255.0,6.0,268.0,48.66412213740458
BLACK CHERRY LIGHTS,8.0,2.0,8.0,47.05882352941176
DAISY HAIR COMB,6.0,1.0,6.0,46.15384615384615
CLASSIC DIAMANTE EARRINGS JET,6.0,1.0,6.0,46.15384615384615
BLACK 3 BEAD DROP EARRINGS,6.0,1.0,6.0,46.15384615384615
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,6.0,1.0,6.0,46.15384615384615
2 DAISIES HAIR COMB,6.0,1.0,6.0,46.15384615384615
DROP DIAMANTE EARRINGS GREEN,6.0,1.0,6.0,46.15384615384615
